"STATION","NAME","DATE","AWND","FMTM","PGTM","TAVG","TMAX","TMIN","WDF1","WDF2","WDF5","WDFG","WDFM","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-05",,," 1418",,"70","49",,,,"  315",,,,,"27.5",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-06",,," 1412",,"75","50",,,,"  248",,,,,"30.0",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-07",,," 1542",,"67","51",,,,"  293",,,,,"24.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-08",,," 1700",,"64","51",,,,"  293",,,,,"27.5",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-09",,," 1418",,"60","49",,,,"  293",,,,,"36.7",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-10",,," 0354",,"59","48",,,,"  293",,,,,"33.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-11",,," 1854",,"61","49",,,,"  293",,,,,"40.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-12",,," 1724",,"62","47",,,,"  293",,,,,"34.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-13",,," 1554",,"63","51",,,,"  270",,,,,"33.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-14",,," 1800",,"62","48",,,,"  293",,,,,"40.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-15",,," 1712",,"61","46",,,,"  293",,,,,"44.7",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-16",,," 1718",,"66","41",,,,"  293",,,,,"27.5",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-17",,," 1506",,"62","43",,,,"  293",,,,,"32.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-18",,," 1042",,"67","51",,,,"  315",,,,,"20.8",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-19",,," 1518",,"65","50",,,,"  293",,,,,"32.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-20",,," 1806",,"65","48",,,,"  293",,,,,"41.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-21",,," 1654",,"60","45",,,,"  293",,,,,"54.1",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-22",,," 0000",,"57","43",,,,"  315",,,,,"38.0",
